took_pre_CC,took_post_CC,CC_ConsensusTemp_pre,CC_Important_pre,CC_HarmPeople_pre,CC_ScientistsWhether_pre,CC_Beliefs_pre,CC_Worried_pre,CC_BeliefsFillIn_pre,CC_ChangeMind_pre,CC_Validation_pre,CC_HarmYou_pre,CC_ScientistsWhy_pre,CC_Happening_pre,CC_ConsensusCause_pre,CC_Thought_pre,CC_Friends_pre,CC_View_pre,CC_HarmPeople_post,CC_Thought_post,CC_Beliefs_post,CC_Worried_post,CC_ConsensusCause_post,CC_View_post,CC_ScientistsWhether_post,CC_BeliefsFillIn_post,CC_ChangeMind_post,CC_ConsensusTemp_post,CC_Validation_post,CC_Important_post,CC_Friends_post,CC_ChangedMe_post,CC_HarmYou_post,CC_Happening_post,CC_ScientistsWhy_post
1,1,SomewhatAgree,MostlyNot,After100,SomewhatAgree,Other,NotVery,"I think it's happening, but we also have more knowledge about historical records that we didn't have before ",Neither,SomewhatAgree,Somewhat,Neither,YesNotSure,Natural,Little,Some,Unwilling,Years51to100,NotAtAll,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatAgree,SomewhatAgree,SomewhatAgree,Neither,Some,StronglyAgree,Little,,StronglyAgree
1,0,Neither,Neither,Now,StronglyDisagree,Both,Neither,,Neither,SomewhatDisagree,Little,SomewhatAgree,YesSomeSure,Both,Little,DK,Unwilling,,,,,,,,,,,,,,,,,
1,1,Neither,Neither,Years11to25,StronglyAgree,Humans,Somewhat,,Neither,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Success,Years51to100,Little,Humans,Very,Humans,Success,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,Neither,Little,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,MostlyNot,Years11to25,SomewhatAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,DK,SomewhatAgree,YesVerySure,DK,Little,Some,Unclear,Years51to100,Some,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,MostlyNot,DK,SomewhatAgree,Moderate,YesVerySure,StronglyAgree
1,1,Neither,Neither,NotHappening,SomewhatDisagree,Humans,NotVery,,Neither,Neither,NotHappening,SomewhatAgree,NoVerySure,Natural,Some,Few,CantReduce,Now,Some,Humans,NotVery,NotHappening,CantReduce,Neither,,SomewhatAgree,Neither,SomewhatAgree,MostlyNot,Few,SomewhatDisagree,Little,YesVerySure,SomewhatDisagree
0,1,,,,,,,,,,,,,,,,,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Little,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years51to100,StronglyAgree,Both,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Both,Some,Some,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Neither,Years26to50,StronglyAgree,Humans,Somewhat,,Neither,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,Little,None,Unwilling,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,Little,Humans,Somewhat,Humans,Unwilling,SomewhatAgree,,Neither,SomewhatAgree,SomewhatAgree,Neither,DK,SomewhatAgree,Little,YesSomeSure,SomewhatAgree
1,1,,Very,Now,,Humans,Very,,SomewhatDisagree,,Moderate,,YesExtrSure,Humans,Some,Most,Unclear,Now,Some,Humans,Very,Humans,Success,StronglyAgree,,StronglyDisagree,StronglyAgree,StronglyAgree,Extremely,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Success,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,,,,,,,,,,,,YesExtrSure,,,,,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,All,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,0,,Neither,Now,,Both,Somewhat,,Neither,,Moderate,,YesExtrSure,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unwilling,SomewhatAgree,,SomewhatDisagree,SomewhatAgree,SomewhatAgree,MostlyNot,All,StronglyAgree,Moderate,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,Very,Years10,SomewhatAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,Some,Most,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,SomewhatDisagree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatDisagree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,Some,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,StronglyAgree,Neither,Most,Neither,Little,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Somewhat,,StronglyAgree,SomewhatAgree,Little,SomewhatAgree,YesNotSure,Humans,Some,DK,Unclear,,,,,,,,,,,,,,,,,
1,1,Neither,MostlyNot,Years11to25,Neither,Humans,NotVery,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatDisagree,YesSomeSure,DK,Little,DK,Unwilling,Now,Little,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatAgree,StronglyAgree,SomewhatAgree,Neither,DK,StronglyAgree,Moderate,YesVerySure,SomewhatAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,All,Neither,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Now,StronglyAgree,Humans,Somewhat,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Neither,Years10,SomewhatAgree,Both,Somewhat,,Neither,SomewhatAgree,Moderate,SomewhatAgree,YesNotSure,Both,NotAtAll,Most,Unclear,Years10,NotAtAll,Both,Somewhat,Both,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Neither,DK,SomewhatAgree,Moderate,YesSomeSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,After100,Some,Humans,Somewhat,Humans,Unclear,StronglyDisagree,,SomewhatAgree,StronglyDisagree,SomewhatAgree,MostlyNot,Few,Neither,Little,YesExtrSure,StronglyDisagree
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,StronglyAgree,YesVerySure,Humans,Some,Some,Unclear,Now,ALot,Humans,Very,Both,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,Neither,Moderate,YesVerySure,StronglyAgree
1,1,StronglyAgree,Very,Years11to25,SomewhatAgree,Humans,Very,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unwilling,Now,Little,Humans,Very,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years26to50,Some,Both,Somewhat,Humans,Unwilling,SomewhatAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatDisagree,Little,YesExtrSure,StronglyAgree
1,1,Neither,Extremely,Now,SomewhatAgree,Both,Very,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Natural,ALot,Some,Unclear,Now,Some,Humans,Very,Humans,Success,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,Very,Years11to25,StronglyAgree,Humans,Somewhat,,StronglyDisagree,SomewhatAgree,Somewhat,StronglyAgree,YesVerySure,Humans,Little,Most,Success,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years26to50,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatDisagree,GreatDeal,YesExtrSure,StronglyAgree
1,1,DK,Neither,Years11to25,StronglyAgree,Other,,I haven't done enough research to have a strong opinion,StronglyAgree,SomewhatAgree,Little,Neither,YesNotSure,Both,Little,DK,Unwilling,Now,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Neither,Most,SomewhatAgree,Little,YesSomeSure,SomewhatAgree
0,1,,,,,,,,,,,,,,,,,Years11to25,Some,Both,Neither,Natural,CantReduce,SomewhatAgree,,Neither,SomewhatAgree,Neither,Very,Most,SomewhatAgree,Moderate,YesSomeSure,SomewhatAgree
1,0,SomewhatDisagree,MostlyNot,Never,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,NotHappening,StronglyDisagree,YesExtrSure,Humans,ALot,Few,CantReduce,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years11to25,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Extremely,Now,SomewhatAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,DK,Little,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,StronglyAgree,Moderate,SomewhatAgree,YesVerySure,DK,Some,Most,Unwilling,Years26to50,Little,Humans,NotAtAll,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years10,Some,Both,Somewhat,Both,Unclear,SomewhatAgree,,SomewhatDisagree,SomewhatAgree,SomewhatAgree,Extremely,Few,Neither,GreatDeal,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Somewhat,,StronglyDisagree,StronglyAgree,Moderate,StronglyAgree,YesExtrSure,Humans,Some,,Unclear,Years26to50,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,StronglyAgree,Neither,All,StronglyDisagree,Moderate,YesExtrSure,StronglyAgree
1,1,Neither,Neither,After100,Neither,Both,Neither,,StronglyAgree,Neither,DK,Neither,YesNotSure,Both,Some,None,Unwilling,Years51to100,Some,Humans,Neither,Humans,Unwilling,Neither,,SomewhatAgree,Neither,Neither,MostlyNot,Some,Neither,Little,YesExtrSure,Neither
1,0,,Neither,Years51to100,,Both,Somewhat,,SomewhatAgree,,Moderate,,YesSomeSure,,,,,,,,,,,,,,,,,,,,,
1,1,DK,Neither,After100,DK,ExtentUnknown,Neither,,Neither,SomewhatAgree,DK,DK,DK,DK,NotAtAll,DK,DontNeed,Years10,NotAtAll,ExtentUnknown,Neither,DK,Unclear,SomewhatAgree,,Neither,SomewhatAgree,SomewhatAgree,Neither,DK,SomewhatAgree,DK,DK,SomewhatAgree
0,1,,,,,,,,,,,,,,,,,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,All,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Both,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,Neither,DK,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years10,ALot,Humans,Neither,NoConsensus,Unclear,SomewhatAgree,,SomewhatDisagree,SomewhatAgree,SomewhatAgree,Neither,Most,SomewhatDisagree,Somewhat,YesVerySure,Neither
1,0,SomewhatAgree,Very,Years51to100,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Neither,After100,StronglyAgree,Both,Somewhat,,Neither,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,Some,All,Unwilling,Years51to100,Little,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Neither,Most,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Neither,After100,SomewhatAgree,Humans,,,Neither,SomewhatAgree,Little,SomewhatAgree,NoExtrSure,Humans,Some,,Success,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,YesVerySure,,,,,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Neither,Years11to25,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,Some,Most,Unwilling,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyAgree,StronglyAgree,StronglyAgree,Extremely,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years11to25,StronglyAgree,Humans,Somewhat,,Neither,SomewhatDisagree,Moderate,StronglyAgree,YesExtrSure,Humans,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Neither,Now,SomewhatAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Little,StronglyAgree,YesSomeSure,Humans,Little,Few,Unclear,Now,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatAgree,StronglyAgree,SomewhatDisagree,Neither,Few,SomewhatAgree,Little,YesExtrSure,StronglyAgree
1,0,,Extremely,Now,,Humans,Very,,StronglyDisagree,,GreatDeal,,YesExtrSure,,,,,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Neither,Now,StronglyAgree,Humans,Neither,,SomewhatAgree,SomewhatAgree,Little,SomewhatAgree,YesNotSure,DK,Little,DK,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Very,Now,SomewhatAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Both,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Very,Now,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Little,SomewhatAgree,YesSomeSure,Humans,Some,Most,Unclear,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,0,Neither,Very,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Little,SomewhatAgree,YesExtrSure,Both,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Years51to100,StronglyAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Somewhat,StronglyAgree,YesExtrSure,Humans,ALot,All,Unclear,,,,,,,,,,,,,,,,,
1,0,SomewhatAgree,Neither,Years10,SomewhatAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Both,NotAtAll,DK,Unwilling,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,Little,Humans,Very,Humans,Unwilling,StronglyAgree,,SomewhatAgree,SomewhatAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesVerySure,SomewhatAgree
1,0,StronglyAgree,Neither,Now,SomewhatAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,DK,Neither,YesSomeSure,Both,Little,Some,Unwilling,,,,,,,,,,,,,,,,,
1,1,DK,Neither,Years51to100,SomewhatAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Little,SomewhatAgree,YesSomeSure,Humans,Little,Few,Unclear,Years26to50,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatAgree,StronglyAgree,SomewhatAgree,Neither,Most,SomewhatAgree,Moderate,YesVerySure,StronglyAgree
1,1,Neither,Very,Years11to25,SomewhatAgree,Humans,Somewhat,,Neither,SomewhatAgree,Moderate,SomewhatAgree,YesSomeSure,Both,Some,Most,Unwilling,Years11to25,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,,SomewhatAgree,Moderate,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,Very,Years51to100,SomewhatAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Little,SomewhatAgree,YesExtrSure,Both,Some,Most,Unclear,Now,ALot,Both,Somewhat,Both,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,DK,StronglyAgree,Little,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,StronglyAgree,Extremely,Most,Neither,Moderate,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,Some,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Little,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Neither,Years11to25,SomewhatAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,StronglyAgree,YesVerySure,Humans,Little,Some,Unwilling,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Very,Now,SomewhatAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,DK,Some,Most,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Now,SomewhatAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unclear,Now,Some,Humans,Somewhat,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,SomewhatAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years10,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,DK,SomewhatAgree,YesExtrSure,Humans,Some,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Neither,After100,SomewhatAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Little,SomewhatAgree,YesSomeSure,Humans,Little,Some,Unwilling,Years26to50,Little,Humans,Very,Humans,Unwilling,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,1,StronglyDisagree,Neither,After100,SomewhatAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Little,StronglyAgree,YesSomeSure,Humans,Some,DK,Unclear,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Some,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Years26to50,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years26to50,Little,Humans,Somewhat,Humans,Unclear,SomewhatAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Some,SomewhatAgree,Little,YesVerySure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years26to50,Some,Humans,Somewhat,NotHappening,DontNeed,SomewhatAgree,,Neither,SomewhatAgree,SomewhatAgree,Neither,All,Neither,Moderate,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,Very,After100,StronglyAgree,Humans,Somewhat,,SomewhatAgree,StronglyAgree,Moderate,StronglyAgree,YesExtrSure,Humans,Little,DK,Unclear,Years51to100,Little,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,StronglyAgree,Very,Some,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years51to100,Some,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatAgree,StronglyAgree,SomewhatAgree,MostlyNot,All,SomewhatAgree,Little,YesExtrSure,StronglyAgree
1,0,,Neither,Years26to50,Neither,Both,Neither,,StronglyAgree,SomewhatAgree,Somewhat,SomewhatAgree,YesNotSure,Humans,NotAtAll,DK,Unwilling,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Years10,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,ALot,Most,Success,,,,,,,,,,,,,,,,,
1,0,SomewhatAgree,Neither,After100,SomewhatAgree,Both,Neither,,Neither,SomewhatAgree,Little,SomewhatDisagree,YesSomeSure,Both,Little,None,Unclear,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years51to100,Some,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Extremely,Years11to25,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesVerySure,Humans,Some,None,Unwilling,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Very,Years11to25,SomewhatAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unclear,Years10,Some,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesVerySure,StronglyAgree
1,1,StronglyAgree,Neither,After100,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Little,StronglyAgree,YesVerySure,Humans,ALot,Most,Unwilling,After100,Some,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,DK,Neither,Somewhat,YesExtrSure,StronglyAgree
1,1,,Very,Years26to50,,Humans,Somewhat,,SomewhatDisagree,,Little,,YesVerySure,,,,,,,,,,,,,,,,,,,,YesExtrSure,
1,1,SomewhatAgree,Very,Years26to50,SomewhatAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,Some,,Unclear,Now,Some,Both,Somewhat,Humans,Unwilling,StronglyAgree,,StronglyDisagree,SomewhatAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,Very,Years11to25,StronglyAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unwilling,Years10,Some,Both,Very,Both,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,DK,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,MostlyNot,Years10,SomewhatAgree,Natural,Somewhat,,SomewhatAgree,SomewhatAgree,Somewhat,SomewhatAgree,YesSomeSure,NotHappening,Little,Most,CantReduce,Now,Some,ExtentUnknown,Somewhat,Natural,Unwilling,Neither,,Neither,Neither,Neither,Neither,Some,SomewhatAgree,Little,YesNotSure,Neither
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,StronglyDisagree,StronglyAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,All,Success,Now,ALot,Humans,Very,Humans,Success,StronglyAgree,,StronglyAgree,StronglyAgree,SomewhatAgree,Extremely,DK,StronglyDisagree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Now,SomewhatAgree,Humans,Very,,Neither,SomewhatAgree,DK,SomewhatAgree,YesVerySure,Humans,Some,All,Unclear,,,,,,,,,,,,,,,,,
1,0,SomewhatAgree,Neither,Years51to100,SomewhatAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Success,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Neither,Years11to25,StronglyAgree,Humans,NotVery,,Neither,SomewhatAgree,DK,SomewhatAgree,YesNotSure,DK,Some,DK,Unwilling,Years11to25,Little,Humans,Somewhat,Both,Unclear,StronglyAgree,,StronglyAgree,StronglyAgree,SomewhatAgree,Neither,DK,SomewhatDisagree,DK,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesVerySure,Humans,Some,Most,Unclear,Now,ALot,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,All,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Little,StronglyAgree,YesExtrSure,Humans,ALot,All,Unclear,Years10,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyAgree,StronglyAgree,SomewhatAgree,Extremely,All,SomewhatAgree,DK,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years51to100,Some,ExtentUnknown,Somewhat,Both,Unclear,SomewhatAgree,,Neither,StronglyAgree,SomewhatAgree,Neither,DK,Neither,Little,YesExtrSure,Neither
